Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,270,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,148,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,95,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,218,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,213,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,118,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,520,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,303,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,259,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,553,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,323,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,228,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,465,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,298,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,197,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,236,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,226,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,151,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,279,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,241,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,178,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,390,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,388,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,270,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,394,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,269,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,176,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,296,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,319,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,209,3
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,404,1
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,459,2
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,286,3
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,348,1
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,230,2
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,166,3
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,269,1
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,102,2
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,136,3
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,268,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,179,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,160,3
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,361,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,302,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,186,3
2021-01-01,1,Ciutat Vella,1,el Raval,6,1016,266,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,1016,272,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,1016,203,3
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,309,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,333,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,253,3
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,264,1
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,154,2
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,131,3
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,435,1
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,427,2
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,263,3
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,482,1
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,252,2
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,189,3
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,498,1
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,339,2
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,161,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,309,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,193,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,98,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,467,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,289,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,163,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,249,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,256,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,113,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,299,1
